GENE_symbol	DRUG_name	DRUG_type
CPB2	Prothrombin	approved
F13A1	Prothrombin	approved
PTGIR	Selexipag	approved
ALK	Alectinib	approved
SLC22A11	Lesinurad	approved
SLC22A12	Lesinurad	approved
IL17A	Ixekizumab	approved
BCL2	Venetoclax	approved
GABRG3	Thiocolchicoside	approved
GABRB3	Thiocolchicoside	approved
GABRB2	Thiocolchicoside	approved
GABRA2	Thiocolchicoside	approved
GABRD	Thiocolchicoside	approved
GABRQ	Thiocolchicoside	approved
GABRE	Thiocolchicoside	approved
GABRA6	Thiocolchicoside	approved
GABRB1	Thiocolchicoside	approved
GABRA3	Thiocolchicoside	approved
GABRG1	Thiocolchicoside	approved
GABRP	Thiocolchicoside	approved
GABRA5	Thiocolchicoside	approved
GABRA4	Thiocolchicoside	approved
GABRA1	Thiocolchicoside	approved
GABRG2	Thiocolchicoside	approved
HRH1	Bilastine	approved
CD274	Atezolizumab	approved
RHD	Human Rho(D) immune globulin	approved
TLR2	Tuberculin Purified Protein Derivative	approved
ITGAL	Lifitegrast	approved
PTAFR	Rupatadine	approved
HRH1	Rupatadine	approved
MME	Candoxatrilat	experimental
HTR3A	Tropisetron	approvedinvestigational
CDK4	Ribociclib	approved
CDK6	Ribociclib	approved
TPH2	Telotristat	approved
TPH1	Telotristat	approved
ABL1	Radotinib	investigational
PARP1	Rucaparib	approvedinvestigational
PARP3	Rucaparib	approvedinvestigational
PARP2	Rucaparib	approvedinvestigational
F10	Nafamostat	approvedinvestigational
PRSS1	Nafamostat	approvedinvestigational
F2	Nafamostat	approvedinvestigational
F12	Nafamostat	approvedinvestigational
KLK1	Nafamostat	approvedinvestigational
PLG	Gabexate	approvedinvestigational
KLKB1	Gabexate	approvedinvestigational
F2	Gabexate	approvedinvestigational
CASR	Etelcalcetide	investigational
HTR3A	Tiapride	approvedinvestigational
HTR3C	Tiapride	approvedinvestigational
ADRA2A	Tiapride	approvedinvestigational
HRH1	Tiapride	approvedinvestigational
HTR1D	Tiapride	approvedinvestigational
ADRA2C	Tiapride	approvedinvestigational
ADRA1B	Tiapride	approvedinvestigational
HTR2B	Tiapride	approvedinvestigational
ADRA1A	Tiapride	approvedinvestigational
HTR3B	Tiapride	approvedinvestigational
HTR2A	Tiapride	approvedinvestigational
HTR2C	Tiapride	approvedinvestigational
HTR1B	Tiapride	approvedinvestigational
ADRA2B	Tiapride	approvedinvestigational
DRD3	Tiapride	approvedinvestigational
ADRA1D	Tiapride	approvedinvestigational
DRD2	Tiapride	approvedinvestigational
HTR7	Tiapride	approvedinvestigational
HTR3D	Tiapride	approvedinvestigational
HTR1F	Tiapride	approvedinvestigational
HTR1A	Tiapride	approvedinvestigational
HTR6	Tiapride	approvedinvestigational
HTR1E	Tiapride	approvedinvestigational
HTR3E	Tiapride	approvedinvestigational
HTR4	Tiapride	approvedinvestigational
ADRB2	Levosalbutamol	approved
CSF3R	Lenograstim	approved
F5	Protein S human	approved
F10	Protein S human	approved
PROC	Protein S human	approved
F3	Coagulation factor VII human	approved
F9	Coagulation factor VII human	approved
F10	Coagulation factor VII human	approved
F10	Anti-inhibitor coagulant complex	approved
F13A1	Anti-inhibitor coagulant complex	approved
F5	Anti-inhibitor coagulant complex	approved
F2	Anti-inhibitor coagulant complex	approved
F8	Anti-inhibitor coagulant complex	approved
F7	Anti-inhibitor coagulant complex	approved
FGB	Anti-inhibitor coagulant complex	approved
FGA	Anti-inhibitor coagulant complex	approved
F10	Coagulation Factor IX Human	approved
F7	Coagulation Factor IX Human	approved
F8	Coagulation Factor IX Human	approved
F11	Coagulation Factor IX Human	approved
NR3C1	Clobetasone	approved
EGFR	Olmutinib	approved
ACE	Zofenopril	experimental
PTGS2	Alclofenac	approvedwithdrawn
GUCY1A2	Plecanatide	approved
