gene	rseq
DENND2C	NM_001256404
SLC25A11	NM_003562
MPND	NM_032868
ANKRD24	NM_133475
CGNL1	NM_032866
DEFB133	NM_001166478
SCG3	NM_013243
ZNF513	NM_144631
RALGPS1	NM_014636
TEX14	NM_001201457
SH3TC1	NM_018986
SSH1	NM_018984
KLHL42	NM_020782
WDR35	NM_001006657
CUX1	NM_001202543
NIP7	NM_016101
GAMT	NM_138924
CCDC168	NM_001146197
LRRC10B	NM_001145077
TBC1D7	NM_016495
USP27X	NM_001145073
IVD	NM_002225
HDX	NM_144657
PGM1	NM_001172818
SPATA31A6	NM_001145196
KLC2	NM_022822
PLS3	NM_005032
PTPMT1	NM_175732
TAC4	NM_170685
LDB3	NM_001171610
ZFP112	NM_001083335
RPUSD4	NM_032795
CD58	NM_001779
ZC3H11A	NM_014827
MYL7	NM_021223
CDON	NM_001243597
CDHR2	NM_017675
QRICH2	NM_032134
TM2D3	NM_078474
ARFGEF2	NM_006420
USP24	NM_015306
CCDC25	NM_018246
C11orf1	NM_022761
SHMT1	NM_004169
NUDT14	NM_177533
SEMA6D	NM_153618
SLC27A4	NM_005094
ST3GAL5	NM_003896
NAE1	NM_003905
SYNJ1	NM_003895
EDN3	NM_000114
SYTL2	NM_206927
SDF4	NM_016176
MICAL3	NM_015241
HEMK1	NM_016173
TPSD1	NM_012217
A4GNT	NM_016161
MLYCD	NM_012213
PTGR1	NM_012212
MAN2B2	NM_015274
CANX	NM_001746
TBC1D9	NM_015130
C1orf94	NM_001134734
FCGR2A	NM_001136219
ADAM12	NM_003474
LSM10	NM_032881
CEP135	NM_025009
ASB9	NM_001031739
VAV1	NM_005428
SLC13A4	NM_012450
TRPM3	NM_001007471
TAF6	NM_001190415
NUDT21	NM_007006
LILRA1	NM_006863
RAB35	NM_006861
CD180	NM_005582
EIF1AD	NM_032325
ZNF345	NM_003419
ZNF280D	NM_017661
USF2	NM_003367
ZNF699	NM_198535
FAM43B	NM_207334
PHF21B	NM_138415
WDR20	NM_001242417
TRIM7	NM_203293
SYTL3	NM_001242384
ACSS2	NM_001076552
DCP2	NM_152624
ANAPC13	NM_015391
NMNAT2	NM_015039
SLC39A2	NM_014579
BRD1	NM_014577
UXT	NM_153477
NUDCD2	NM_145266
MEIS2	NM_170675
MSC	NM_005098
EXOG	NM_005107
DLX6	NM_005222
DLX5	NM_005221
RICTOR	NM_152756
MINA	NM_153182
RPL35	NM_007209
MRPS30	NM_016640
ARL6IP4	NM_018694
AHSP	NM_016633
ACSL4	NM_022977
NUDT9	NM_024047
MOSPD3	NM_023948
ZNF559	NM_001202406
MNAT1	NM_002431
RPL6	NM_000970
PLEC	NM_201380
KIFC1	NM_002263
SETD7	NM_030648
SFXN1	NM_022754
MT4	NM_032935
TRIM5	NM_033034
MOB3A	NM_130807
KIAA1715	NM_030650
ADAM19	NM_033274
ZSCAN25	NM_145115
NKAP	NM_024528
TMEM14B	NM_030969
KCNIP2	NM_014591
INTS4	NM_033547
LMOD2	NM_207163
ARF1	NM_001658
DUSP13	NM_001007273
ZNF2	NM_021088
TIAM2	NM_012454
ARHGEF10L	NM_018125
SCN3A	NM_006922
ARRDC2	NM_015683
B4GALT3	NM_003779
GLRX3	NM_006541
KCNAB2	NM_001199862
TFR2	NM_003227
PPP1CC	NM_001244974
CARD9	NM_052813
CLEC4D	NM_080387
CLEC2B	NM_005127
NR1D2	NM_005126
CCS	NM_005125
REC8	NM_005132
THOC1	NM_005131
DOPEY2	NM_005128
H2AFY	NM_138610
MED13	NM_005121
ZNHIT1	NM_006349
RORC	NM_005060
NR5A1	NM_004959
PPIH	NM_006347
THRAP3	NM_005119
HYAL3	NM_003549
GNL3L	NM_019067
RFC1	NM_001204747
CINP	NM_001177611
SSTR5	NM_001053
TEX22	NM_001195082
SLC34A1	NM_003052
RANBP3	NM_007322
CHST3	NM_004273
TGFB3	NM_003239
CYP2R1	NM_024514
ZMYND15	NM_001267822
C21orf58	NM_058180
FAM175B	NM_032182
LOH12CR1	NM_058169
KLK15	NM_017509
MGST1	NM_020300
PLXNA3	NM_017514
RAB39A	NM_017516
MYH4	NM_017533
TMEM63B	NM_018426
YLPM1	NM_019589
MPC1	NM_001270879
LRRC37B	NM_052888
HLA-DRB5	NM_002125
INSM1	NM_002196
ITGA5	NM_002205
EIF3I	NM_003757
ISG20	NM_002201
IL17A	NM_002190
EIF3D	NM_003753
ZNF736	NM_001170905
CACTIN	NM_021231
CDC7	NM_003503
CRTC3	NM_022769
NT5C3	NM_001002010
RCC1	NM_001048194
CDCP1	NM_022842
GPIHBP1	NM_178172
CYP4F22	NM_173483
ADCK5	NM_174922
ARHGAP27	NM_199282
SAMD14	NM_174920
GSDMA	NM_178171
ZNF326	NM_182976
ISLR	NM_005545
PIGW	NM_178517
FAM174A	NM_198507
LCE1C	NM_178351
GPATCH4	NM_015590
UBE2U	NM_152489
SCYL1	NM_020680
ASB1	NM_001040445
MEIS3	NM_020160
LARP4B	NM_015155
MESDC2	NM_015154
PHF3	NM_015153
OTOR	NM_020157
MBOAT7	NM_024298
ARRB1	NM_004041
ARL14	NM_025047
ABCC9	NM_005691
HK1	NM_033497
ELANE	NM_001972
GNAQ	NM_002072
CELA1	NM_001971
GNAI1	NM_002069
GNAI2	NM_002070
EIF4E	NM_001130679
PIGF	NM_002643
FGR	NM_005248
DCDC5	NM_020869
HRNR	NM_001009931
LELP1	NM_001010857
BZW2	NM_014038
HS1BP3	NM_022460
APBB1IP	NM_019043
PCDHGB5	NM_018925
PCDHGB4	NM_003736
GDF2	NM_016204
PRKAG2	NM_016203
ZNF613	NM_001031721
ZNF672	NM_024836
PCDHGB3	NM_018924
PCDHGB2	NM_018923
PCDHGB1	NM_018922
FGFBP3	NM_152429
OR51E1	NM_152430
APOBEC3D	NM_152426
MYADM	NM_138373
PLA2G4B	NM_001114633
RPS15	NM_001018
OXTR	NM_000916
RPS12	NM_001016
OXT	NM_000915
MTX3	NM_001167741
FAM64A	NM_001195228
PIK3R3	NM_003629
HIVEP3	NM_024503
GRIA1	NM_001258021
NIPAL4	NM_001099287
ATP5SL	NM_001167867
ATP6V1G2	NM_130463
TRAF3	NM_003300
PPFIBP1	NM_177444
KCNA2	NM_004974
SI	NM_001041
CLDN7	NM_001307
CCBP2	NM_001296
CCR1	NM_001295
CLPTM1	NM_001294
TRIM77	NM_001146162
PRKAR1B	NM_002735
RPS6KA1	NM_001006665
RPS2	NM_002952
MUC4	NM_018406
ST8SIA4	NM_005668
MMP2	NM_004530
MLLT3	NM_004529
LRP2	NM_004525
CNIH	NM_005776
STOML2	NM_013442
MICAL2	NM_014632
ISOC1	NM_016048
CCT5	NM_012073
CD93	NM_012072
AKR7A3	NM_012067
AMDHD2	NM_001145815
PARVB	NM_001003828
ARHGEF10	NM_014629
DERL2	NM_016041
MAD2L1BP	NM_001003690
TAAR2	NM_001033080
NPHS2	NM_014625
S100A6	NM_014624
HOXD4	NM_014621
NMD3	NM_015938
SAMD4A	NM_015589
ZFYVE9	NM_004799
LRRC3	NM_030891
MAL	NM_002371
PRPF38A	NM_032864
LTV1	NM_032860
MAEL	NM_032858
FXYD2	NM_001680
CNTD2	NM_024877
ADCK4	NM_024876
KIR2DL4	NM_001080770
ANKRD6	NM_001242809
OFD1	NM_003611
SUPT3H	NM_181356
HIPK1	NM_198268
ATP2A1	NM_173201
AMER2	NM_152704
ABCA13	NM_152701
RHOT1	NM_001033568
IDS	NM_000202
FBXL6	NM_012162
DTYMK	NM_012145
LMNB1	NM_005573
GUCY1A3	NM_000856
CABLES1	NM_001100619
GLB1L3	NM_001080407
SLC45A1	NM_001080397
AMER3	NM_152698
CNRIP1	NM_015463
CDK6	NM_001259
C17orf59	NM_017622
RNPC3	NM_017619
ILF3	NM_017620
CYP2W1	NM_017781
CHD7	NM_017780
SCAF4	NM_020706
KIAA1143	NM_020696
TBC1D24	NM_001199107
WHSC1L1	NM_023034
MKS1	NM_017777
TMEM139	NM_153345
PTCHD4	NM_001013732
SLC6A3	NM_001044
P2RY4	NM_002565
MYH10	NM_001256012
RNASEH2A	NM_006397
GALNT2	NM_004481
SOX21	NM_007084
MAB21L1	NM_005584
TM9SF1	NM_006405
APBB3	NM_006051
PRAME	NM_006115
NEBL	NM_006393
SLC25A44	NM_014655
LAMTOR5	NM_006402
HEY2	NM_012259
HEY1	NM_001040708
TSN	NM_004622
CTNNA2	NM_004389
KLK4	NM_004917
SARS2	NM_001145901
CD86	NM_175862
LMX1B	NM_001174146
SCEL	NM_144777
IRF8	NM_002163
ICAM3	NM_002162
ATP1A3	NM_001256214
UGP2	NM_006759
CHM	NM_000390
BUB1B	NM_001211
AGRP	NM_001138
GAD2	NM_000818
GAD1	NM_000817
GABRG2	NM_198903
KCNF1	NM_002236
IFIT3	NM_001549
IFIT1	NM_001548
AK2	NM_001625
ADD1	NM_014189
SSU72	NM_014188
TMEM208	NM_014187
IDE	NM_004969
MAP4K1	NM_007181
TP63	NM_003722
TFB2M	NM_022366
MMS19	NM_022362
TSSK6	NM_032037
HIST1H4J	NM_021968
SLC50A1	NM_018845
RBMX	NM_002139
BCKDHA	NM_000709
RNF213	NM_001256071
HIST1H2AE	NM_021052
EPHX3	NM_024794
LOC100289561	NM_001242713
GAB3	NM_001081573
VSTM2L	NM_080607
BHLHE23	NM_080606
ATP6V1C2	NM_001039362
TEX261	NM_144582
C1orf85	NM_144580
B3GALT6	NM_080605
ZSWIM1	NM_080603
BPIFA2	NM_080574
SLC32A1	NM_080552
PTPN6	NM_080549
SLC44A1	NM_080546
MOGAT2	NM_025098
TEX11	NM_001003811
CAPS2	NM_032606
ABHD1	NM_032604
INSM2	NM_032594
HINT2	NM_032593
RPS25	NM_001028
TCEA2	NM_003195
GGCT	NM_024051
MARCH1	NM_001166373
LCAT	NM_000229
LAMB3	NM_000228
COL2A1	NM_001844
DPH1	NM_001383
MSI1	NM_002442
PPM1J	NM_005167
RPL36A-HNRNPH2	NM_001199973
ACOX3	NM_003501
PLN	NM_002667
MAP4K3	NM_003618
ABI3	NM_016428
ZNF397	NM_001135178
NEDD1	NM_001135175
PDYN	NM_024411
EFCAB2	NM_032328
ZDHHC16	NM_032327
ODF1	NM_024410
NOTCH2	NM_024408
PRADC1	NM_032319
TMEM203	NM_053045
C16orf59	NM_025108
YIPF4	NM_032312
DCUN1D5	NM_032299
IFITM10	NM_001170820
ADAM8	NM_001109
SKAP1	NM_003726
CALU	NM_001199671
TIFAB	NM_001099221
MCFD2	NM_139279
PET117	NM_001164811
CLEC3B	NM_003278
BAG4	NM_004874
TRAFD1	NM_006700
S100A2	NM_005978
MARCO	NM_006770
LMO4	NM_006769
IFRD2	NM_006764
BRCA1	NM_007300
MT1F	NM_005949
MT1G	NM_005950
MT1A	NM_005946
HDAC6	NM_006044
RFC5	NM_007370
LIMA1	NM_001113546
KHDRBS1	NM_006559
NDUFB3	NM_002491
C4orf26	NM_001206981
FBXW7	NM_033632
NRG2	NM_013982
PCDHA9	NM_031857
DHX38	NM_014003
TADA3	NM_006354
MS4A6A	NM_001247999
ZNF439	NM_152262
FAM26E	NM_153711
RWDD3	NM_015485
WNT9B	NM_003396
PROZ	NM_001256134
NR1I2	NM_022002
ZIC3	NM_003413
ZIC1	NM_003412
TRIM24	NM_015905
MTMR2	NM_016156
TRIM65	NM_173547
NDUFAF3	NM_199069
CDCA7	NM_031942
COL4A5	NM_000495
RHBDL3	NM_138328
CGB2	NM_033378
MYO1C	NM_001080779
KRAS	NM_033360
DLX1	NM_178120
MKI67	NM_002417
SLC12A4	NM_001145962
FMO3	NM_006894
GOLGA6C	NM_001164404
NCOA4	NM_001145260
BTNL8	NM_001040462
SLC25A38	NM_017875
THG1L	NM_017872
TTC12	NM_017868
GPR135	NM_022571
WDR55	NM_017706
C1orf112	NM_018186
TEX10	NM_017746
SCRT2	NM_033129
KLHL6	NM_130446
NPR1	NM_000906
APOBEC2	NM_006789
PTPRU	NM_005704
CLCN7	NM_001287
UBN2	NM_173569
CNTN5	NM_014361
HNRPDL	NM_031372
PTPRM	NM_001105244
CLCF1	NM_013246
TBX20	NM_001077653
S1PR5	NM_030760
TSFM	NM_001172696
MAN2B1	NM_000528
ALG5	NM_013338
MAP3K7	NM_145331
TMEM150C	NM_001080506
PRSS56	NM_001195129
DOCK8	NM_203447
CHST11	NM_018413
SLC7A8	NM_012244
ALG9	NM_024740
FAM19A5	NM_001082967
EXTL1	NM_004455
ETV5	NM_004454
CLASRP	NM_007056
POLR3A	NM_007055
GHITM	NM_014394
ANKRD1	NM_014391
SLC25A45	NM_182556
FITM2	NM_001080472
NF1	NM_001042492
PDGFB	NM_002608
LOC100505679	NM_001243531
NUDT7	NM_001105663
PITRM1	NM_001242307
GXYLT2	NM_001080393
AURKA	NM_003600
KLRG2	NM_198508
KEAP1	NM_012289
FRMD7	NM_194277
CXCL17	NM_198477
TMEM17	NM_198276
TRIM32	NM_012210
ZNF735	NM_001159524
CD1E	NM_030893
NPPB	NM_002521
NPM1	NM_002520
NPAT	NM_002519
HAVCR1	NM_012206
STYXL1	NM_016086
CRLF3	NM_015986
ANGPT4	NM_015985
CCKAR	NM_000730
HMGB2	NM_002129
AKNAD1	NM_152763
MAMDC2	NM_153267
EML3	NM_153265
SETD9	NM_153706
PIGO	NM_032634
ZNF41	NM_007130
TMIGD1	NM_206832
RASL11A	NM_206827
RNF138	NM_016271
CAPSL	NM_144647
BRAT1	NM_152743
DUSP15	NM_080611
HOXA9	NM_152739
RNF182	NM_152737
ZBTB9	NM_152735
SLC9B2	NM_178833
SPATA31E1	NM_178828
IQUB	NM_178827
FAM180A	NM_205855
APAF1	NM_181861
PKLR	NM_000298
GRM7	NM_181874
PPP2R2C	NM_181876
ZSCAN2	NM_181877
SPATA31D1	NM_001001670
GPR111	NM_153839
NAGS	NM_153006
CMBL	NM_138809
CD8B	NM_172213
DENND6B	NM_001001794
GPR110	NM_153840
EFHA1	NM_152726
ADAMTS17	NM_139057
SSX5	NM_021015
WDR66	NM_144668
C6orf223	NM_153246
SSX3	NM_021014
KDELC2	NM_153705
DNER	NM_139072
GJB4	NM_153212
IQCK	NM_153208
ENOSF1	NM_202758
RBM45	NM_152945
ZNF268	NM_003415
TNFRSF8	NM_001243
KDM1B	NM_153042
IBA57	NM_001010867
SPIN3	NM_001010862
LPPR5	NM_001037317
RPL3	NM_000967
FZD4	NM_012193
SPEG	NM_005876
FARS2	NM_006567
UNC13B	NM_006377
DUSP1	NM_004417
DTX1	NM_004416
DSP	NM_004415
DPEP1	NM_004413
EIF2B4	NM_172195
MTL5	NM_004923
WDR63	NM_145172
TTC18	NM_145170
GPR161	NM_001267609
GCNT2	NM_145649
SRC	NM_005417
PFKM	NM_001166686
SYCP2	NM_014258
NUTF2	NM_005796
B3GNT3	NM_014256
SLC25A15	NM_014252
SLC25A13	NM_001160210
RBX1	NM_014248
RAPGEF2	NM_014247
IDH3B	NM_006899
CNOT6	NM_015455
ARHGAP32	NM_001142685
ADAMTS3	NM_014243
C1orf43	NM_001098616
ZEB2	NM_014795
KIAA0753	NM_014804
TRIM15	NM_033229
SMTN	NM_001207017
PABPN1L	NM_001080487
LOC100130705	NM_001195150
TRAPPC13	NM_001093755
KRTAP24-1	NM_001085455
LOC286238	NM_001100111
TMPRSS13	NM_001077263
PPP1R9A	NM_001166160
C5orf24	NM_152409
C10orf105	NM_001164375
CASS4	NM_020356
TAF1A	NM_005681
MRVI1	NM_130385
TPPP	NM_007030
LAMC3	NM_006059
REPIN1	NM_001099695
PREB	NM_013388
UQCR10	NM_013387
SLC25A24	NM_013386
MRAS	NM_012219
AS3MT	NM_020682
TMC6	NM_007267
GRXCR1	NM_001080476
ZNF596	NM_173539
NDUFAB1	NM_005003
TYROBP	NM_003332
PIP5K1C	NM_012398
TYR	NM_000372
TTR	NM_000371
TTPA	NM_000370
VAMP4	NM_003762
NFIB	NM_001190737
L3MBTL1	NM_032107
SSBP2	NM_001256732
GABARAPL2	NM_007285
TWF2	NM_007284
MGLL	NM_007283
RNF13	NM_007282
FST	NM_013409
COG5	NM_006348
RNF144A	NM_014746
CTRC	NM_007272
STK38	NM_007271
STXBP3	NM_007269
VSIG4	NM_007268
RNF170	NM_030954
NOS1AP	NM_014697
PIGT	NM_015937
TM4SF18	NM_138786
YAF2	NM_001190979
IL24	NM_001185156
PILRA	NM_013439
UBQLN1	NM_013438
UBXN7	NM_015562
TOMM22	NM_020243
KIF15	NM_020242
CTNNBIP1	NM_020248
ADCK3	NM_020247
SCRN3	NM_024583
VWA5A	NM_014622
TOMM40L	NM_032174
GYS2	NM_021957
FSD1	NM_024333
TTPAL	NM_024331
DOK5	NM_018431
PSMG3	NM_032302
EFHD2	NM_024329
CRELD2	NM_001135101
RBM42	NM_024321
ZFHX4	NM_024721
GRTP1	NM_024719
PSD2	NM_032289
PLEKHF1	NM_024310
DHRS11	NM_024308
GDPD3	NM_024307
CCDC28B	NM_024296
LDOC1L	NM_032287
CYB5R1	NM_016243
CHCHD7	NM_001011668
FAM134A	NM_024293
UBL5	NM_024292
FKRP	NM_024301
ARAP3	NM_022481
FERMT3	NM_178443
RUFY1	NM_025158
MAPT	NM_001123066
BCL7B	NM_001707
BTN2A2	NM_006995
PDE7A	NM_001242318
DSC3	NM_001941
CLNS1A	NM_001293
PSMB3	NM_002795
PCDHGC3	NM_002588
CST2	NM_001322
CSNK2B	NM_001320
ZCCHC11	NM_001009881
FAHD2B	NM_199336
HHIPL2	NM_024746
FBLIM1	NM_001024215
ARHGAP28	NM_001010000
FAIM	NM_001033030
C9orf72	NM_018325
PGAP1	NM_024989
CD226	NM_006566
CHRM5	NM_012125
CRTAM	NM_019604
FHL2	NM_001450
PTTG1IP	NM_004339
SYNGR3	NM_004209
SYK	NM_003177
GP5	NM_004488
LOC100130348	NM_001242631
POU2F2	NM_001207025
CTAGE5	NM_001247989
TRIM3	NM_006458
ARNTL2	NM_020183
CSAD	NM_015989
SORT1	NM_002959
C4orf40	NM_214711
ARMC8	NM_015396
CHST15	NM_015892
LOC283710	NM_001243538
AIF1	NM_001623
TSPAN31	NM_005981
COPS4	NM_016129
CSE1L	NM_001316
RAB3IL1	NM_013401
SPRR2F	NM_001014450
METTL15	NM_001113528
KANK1	NM_015158
ADH4	NM_000670
GABRD	NM_000815
CYLC2	NM_001340
ZNF131	NM_003432
GABPA	NM_002040
GAB1	NM_207123
SLMO1	NM_006553
PSMB9	NM_002800
ADAM15	NM_207197
PTPN9	NM_002833
CREG1	NM_003851
POFUT2	NM_133635
MTMR8	NM_017677
CLEC16A	NM_015226
PTPN23	NM_015466
LHX4	NM_033343
KIF3A	NM_007054
AKNA	NM_030767
SLC35F2	NM_017515
RAB21	NM_014999
CLASP2	NM_015097
BCR	NM_004327
CARD18	NM_021571
GMEB1	NM_006582
DHX37	NM_032656
PPIA	NM_021130
PMAIP1	NM_021127
QTRTD1	NM_001256835
CLEC11A	NM_002975
SMARCC2	NM_003075
PIAS2	NM_004671
MPI	NM_002435
SMARCD1	NM_003076
MED14	NM_004229
FXYD1	NM_005031
LAMA5	NM_005560
DCAF5	NM_003861
RNASE6	NM_005615
HESX1	NM_003865
SLC9A3R1	NM_004252
FBXW10	NM_001267585
HERC3	NM_014606
CHTOP	NM_001206612
HLA-DPA1	NM_033554
FRS2	NM_006654
AMHR2	NM_020547
GAST	NM_000805
ZNF267	NM_003414
RTCA	NM_001130841
CEBPA	NM_004364
GABBR2	NM_005458
CRISP2	NM_003296
STRN3	NM_001083893
TMEM97	NM_014573
C17orf75	NM_022344
NUFIP2	NM_020772
VSX1	NM_014588
OR52H1	NM_001005289
KRT34	NM_021013
MROH9	NM_001163629
UBQLN4	NM_020131
LGALS14	NM_203471
C8orf4	NM_020130
ZNF347	NM_001172674
ADCY5	NM_183357
BTN2A1	NM_007049
RPL17	NM_000985
ITPRIPL1	NM_178495
NACC2	NM_144653
LETM2	NM_001199659
TRMT10A	NM_152292
HFE	NM_000410
ADAMTS19	NM_133638
CCDC7	NM_145023
C4orf36	NM_144645
MED22	NM_133640
RHOV	NM_133639
ZNF114	NM_153608
KRTAP11-1	NM_175858
KRTAP8-1	NM_175857
GIMAP7	NM_153236
TXLNB	NM_153235
CAMK1D	NM_153498
NT5DC2	NM_001134231
GSTM1	NM_000561
RPS3A	NM_001006
KCNA1	NM_000217
DHX30	NM_138615
TRPV6	NM_018646
FYCO1	NM_024513
FAM83D	NM_030919
SNX27	NM_030918
POLR2K	NM_005034
CDH15	NM_004933
RNPS1	NM_006711
MAP3K2	NM_006609
CT47A7	NM_001080140
ZNF529	NM_020951
DEFB119	NM_153323
TMEM196	NM_152774
C4orf22	NM_001206997
C8orf46	NM_152765
MEIOB	NM_001163560
RFC4	NM_002916
FOXF1	NM_001451
FHL1	NM_001159702
GBX2	NM_001485
GATM	NM_001482
GALR1	NM_001480
GAGE5	NM_001475
GAGE4	NM_001474
XRCC6	NM_001469
GABBR1	NM_001470
UGCG	NM_003358
NEU4	NM_001167599
RBM6	NM_005777
ZFYVE27	NM_001002261
TCTN1	NM_001082538
GKAP1	NM_025211
TSNAXIP1	NM_018430
BEAN1	NM_001178020
PAXBP1	NM_016631
HYDIN	NM_001270974
BAHD1	NM_014952
ZNF365	NM_199451
ERP44	NM_015051
ZNF146	NM_007145
PCGF2	NM_007144
KRCC1	NM_016618
FTSJD2	NM_015050
ABI3BP	NM_015429
CDC40	NM_015891
EDC4	NM_014329
FBXO34	NM_017943
SLFN12	NM_018042
C17orf80	NM_017941
PPP1R15A	NM_014330
KIAA1704	NM_018559
ASAP1	NM_018482
UTP20	NM_014503
WDR70	NM_018034
SLC22A23	NM_015482
SEC31B	NM_015490
LDLRAP1	NM_015627
OR11H4	NM_001004479
SPATA7	NM_018418
C3orf80	NM_001168214
RASSF8	NM_001164746
ACY1	NM_000666
THAP1	NM_018105
KBTBD4	NM_018095
GSPT2	NM_018094
WDR74	NM_018093
ZNF609	NM_015042
CLLU1	NM_001025233
IRAK1	NM_001569
ACTBL2	NM_001017992
OPA3	NM_001017989
SLC39A12	NM_001145195
UQCRB	NM_001254752
OR2D2	NM_003700
GLUL	NM_002065
EGR4	NM_001965
EGR1	NM_001964
GLRX	NM_002064
EGF	NM_001963
CDH4	NM_001794
LOC100862671	NM_001256829
RHAG	NM_000324
PRPH2	NM_000322
RB1	NM_000321
BOP1	NM_015201
ULK2	NM_014683
TMEM70	NM_017866
PELP1	NM_014389
CXorf48	NM_001031705
PIGX	NM_001166304
ARHGEF4	NM_015320
ARHGEF18	NM_001130955
KRT20	NM_019010
PARG	NM_003631
VLDLR	NM_003383
PDLIM5	NM_001256426
HTR3E	NM_001256614
GAPDH	NM_002046
SKA2	NM_182620
AKT1S1	NM_032375
IGHMBP2	NM_002180
JOSD1	NM_014876
BRD3	NM_007371
AHSA2	NM_152392
GLRA1	NM_001146040
C1orf35	NM_024319
PRR15L	NM_024320
MTRNR2L8	NM_001190702
MTRNR2L7	NM_001190489
MTRNR2L6	NM_001190487
GLRB	NM_000824
RPUSD2	NM_152260
ADH5	NM_000671
SLIRP	NM_031210
SRP72	NM_006947
IL11	NM_000641
P2RY14	NM_014879
RUSC1	NM_001105203
PDHX	NM_003477
NEO1	NM_002499
HPD	NM_002150
PIH1D3	NM_173494
DGCR8	NM_022720
GNE	NM_001128227
CDH3	NM_001793
CDH2	NM_001792
PPP1CB	NM_002709
CDO1	NM_001801
NPAS1	NM_002517
CPNE4	NM_130808
DPP6	NM_130797
CENPBD1	NM_145039
INPP5K	NM_016532
CRYZL1	NM_145858
TEK	NM_000459
WDR83	NM_032332
JAM2	NM_001270408
KIF25	NM_030615
EPSTI1	NM_001002264
NT5C1B	NM_001199087
PRR3	NM_025263
THUMPD2	NM_025264
PTGDR	NM_000953
PRM2	NM_002762
GADD45B	NM_015675
RGS22	NM_015668
RALGAPA2	NM_020343
CD1D	NM_001766
PLP2	NM_002668
NTRK1	NM_002529
CD69	NM_001781
CD47	NM_001777
CD38	NM_001775
DAO	NM_001917
IHH	NM_002181
CYC1	NM_001916
TRPM1	NM_001252020
TMEM8B	NM_001042589
CHRDL2	NM_015424
STAT1	NM_007315
IL17RA	NM_014339
SEC23IP	NM_007190
NUDCD3	NM_015332
NCSTN	NM_015331
HCFC1R1	NM_017885
BTNL3	NM_197975
AXIN2	NM_004655
POP7	NM_005837
MAP1B	NM_005909
ANXA10	NM_007193
WDR47	NM_001142550
EPHA8	NM_020526
HLX	NM_021958
SLC4A10	NM_001178015
VPS37D	NM_001077621
UBXN2B	NM_001077619
DCHS2	NM_017639
GGT6	NM_001122890
SLC7A9	NM_014270
TMEM51	NM_018022
UBE3B	NM_130466
KCNE1L	NM_012282
RALYL	NM_001100391
CEACAM19	NM_020219
SMPD1	NM_000543
ITGB3BP	NM_001206739
DLGAP1	NM_004746
EXO1	NM_006027
KRT1	NM_006121
PPP2R2A	NM_001177591
DET1	NM_017996
LRIG1	NM_015541
ZDHHC4	NM_018106
PYGL	NM_002863
BEGAIN	NM_020836
KCNS3	NM_002252
KCNS1	NM_002251
DLX2	NM_004405
BECN1	NM_003766
PEA15	NM_003768
CDS2	NM_003818
KIF1A	NM_001244008
RAB7L1	NM_003929
PIAS4	NM_015897
PHF14	NM_014660
BTG1	NM_001731
WWP1	NM_007013
GLB1L2	NM_138342
TMEM116	NM_001193531
CTTN	NM_001184740
DPCD	NM_015448
VAMP2	NM_014232
ANP32A	NM_006305
KLRD1	NM_002262
TRPA1	NM_007332
SLC17A7	NM_020309
LRRC8A	NM_019594
CES3	NM_024922
POF1B	NM_024921
FRMD1	NM_024919
DSN1	NM_024918
CCDC33	NM_025055
WWC2	NM_024949
DOT1L	NM_032482
CDA	NM_001785
TCF20	NM_005650
ZNF354A	NM_005649
DDX52	NM_007010
UBE2E3	NM_006357
PTTG2	NM_006607
API5	NM_001142930
HNRNPH3	NM_012207
HAAO	NM_012205
STEAP4	NM_024636
PRKCQ	NM_006257
CLEC19A	NM_001256720
CXCR3	NM_001142797
NEURL	NM_004210
CHRNA6	NM_004198
RAD9A	NM_004584
NCAM2	NM_004540
HIST1H2AI	NM_003509
FZD6	NM_003506
GPBAR1	NM_170699
GINM1	NM_138785
FGF1	NM_000800
UNC5D	NM_080872
TRIM13	NM_001007278
ALG13	NM_001099922
DCAF12L2	NM_001013628
ELAVL2	NM_004432
DRP2	NM_001939
MIB2	NM_080875
LAS1L	NM_031206
PHOSPHO2	NM_001008489
RNASEL	NM_021133
NFXL1	NM_152995
RQCD1	NM_001271634
CHP1	NM_007236
BRK1	NM_018462
CBX8	NM_020649
UBFD1	NM_019116
PRR13	NM_018457
EAF2	NM_018456
KCNIP4	NM_147183
KDM1A	NM_001009999
TRPM6	NM_017662
QPCTL	NM_017659
DRG2	NM_001388
CUL2	NM_001198778
EHD2	NM_014601
ZDHHC5	NM_015457
CRTAC1	NM_018058
MID1IP1	NM_021242
C17orf51	NM_001113434
ZNF862	NM_001099220
SLC12A3	NM_000339
GINS3	NM_001126129
SMAD7	NM_005904
ADA	NM_000022
NPS	NM_001030013
ICMT	NM_012405
SLFN11	NM_152270
GNLY	NM_006433
ZNF281	NM_012482
AGTRAP	NM_020350
RBM34	NM_015014
BLCAP	NM_006698
BTN3A2	NM_007047
RSPO1	NM_001038633
TSPAN4	NM_003271
GGPS1	NM_001037277
RFPL3	NM_001098535
KLHL13	NM_001168299
EQTN	NM_020641
TPGS2	NM_001271951
PPP2R2B	NM_181675
SEC11A	NM_001271922
BEX5	NM_001012978
PAIP2	NM_016480
RGP1	NM_001080496
NGDN	NM_001042635
MTERFD3	NM_025198
CREBL2	NM_001310
DNMBP	NM_015221
C2orf40	NM_032411
KCNJ4	NM_004981
FUT7	NM_004479
CILP	NM_003613
